Connecting to host speedtest.serverius.net, port 5002
[  4] local 2806:2f0:9801:b2b6:d4e1:4ac9:15a3:233a port 43362 connected to 2a00:1ca8:33::2 port 5002
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-0.25   sec  76.6 KBytes  2.51 Mbits/sec    0   13.7 KBytes       
[  4]   0.25-0.50   sec  0.00 Bytes  0.00 bits/sec    0   13.7 KBytes       
[  4]   0.50-0.75   sec   276 KBytes  9.06 Mbits/sec    0   54.7 KBytes       
[  4]   0.75-1.00   sec   366 KBytes  12.0 Mbits/sec    0    104 KBytes       
[  4]   1.00-1.25   sec   436 KBytes  14.3 Mbits/sec    0    163 KBytes       
[  4]   1.25-1.50   sec   778 KBytes  25.5 Mbits/sec    0    262 KBytes       
[  4]   1.50-1.75   sec  1.54 MBytes  51.5 Mbits/sec    0    477 KBytes       
[  4]   1.75-2.00   sec  1.41 MBytes  47.4 Mbits/sec    0    777 KBytes       
[  4]   2.00-2.25   sec   692 KBytes  22.6 Mbits/sec    0   1.39 MBytes       
[  4]   2.25-2.50   sec  1.04 MBytes  35.0 Mbits/sec    0   2.11 MBytes       
[  4]   2.50-2.75   sec  1.23 MBytes  41.2 Mbits/sec    0   2.39 MBytes       
[  4]   2.75-3.00   sec  1.78 MBytes  59.8 Mbits/sec    0   2.39 MBytes       
[  4]   3.00-3.25   sec  2.50 MBytes  83.8 Mbits/sec    0   2.39 MBytes       
[  4]   3.25-3.50   sec  1.86 MBytes  62.5 Mbits/sec    0   2.42 MBytes       
[  4]   3.50-3.75   sec  0.00 Bytes  0.00 bits/sec  578    615 KBytes       
[  4]   3.75-4.00   sec   377 KBytes  12.4 Mbits/sec  626    617 KBytes       
[  4]   4.00-4.25   sec  1.04 MBytes  35.0 Mbits/sec  151    625 KBytes       
[  4]   4.25-4.50   sec  1.35 MBytes  45.4 Mbits/sec   19    607 KBytes       
[  4]   4.50-4.75   sec   629 KBytes  20.6 Mbits/sec    2    533 KBytes       
[  4]   4.75-5.00   sec  1.35 MBytes  45.4 Mbits/sec    1    852 KBytes       
[  4]   5.00-5.25   sec   818 KBytes  26.7 Mbits/sec   19    751 KBytes       
[  4]   5.25-5.50   sec  0.00 Bytes  0.00 bits/sec  183    606 KBytes       
[  4]   5.50-5.75   sec  1.72 MBytes  57.7 Mbits/sec    0    612 KBytes       
[  4]   5.75-6.00   sec   943 KBytes  30.9 Mbits/sec    0    629 KBytes       
[  4]   6.00-6.25   sec   566 KBytes  18.6 Mbits/sec    4    596 KBytes       
[  4]   6.25-6.50   sec   440 KBytes  14.4 Mbits/sec    5    416 KBytes       
[  4]   6.50-6.75   sec  1.11 MBytes  37.1 Mbits/sec    0    455 KBytes       
[  4]   6.75-7.00   sec   629 KBytes  20.6 Mbits/sec    0    466 KBytes       
[  4]   7.00-7.25   sec   692 KBytes  22.7 Mbits/sec    0    479 KBytes       
[  4]   7.25-7.50   sec   692 KBytes  22.7 Mbits/sec    0    488 KBytes       
[  4]   7.50-7.75   sec   629 KBytes  20.6 Mbits/sec    0    496 KBytes       
[  4]   7.75-8.00   sec   692 KBytes  22.7 Mbits/sec    0    503 KBytes       
[  4]   8.00-8.25   sec   692 KBytes  22.7 Mbits/sec    0    510 KBytes       
[  4]   8.25-8.50   sec   692 KBytes  22.7 Mbits/sec    0    517 KBytes       
[  4]   8.50-8.75   sec   755 KBytes  24.7 Mbits/sec    0    522 KBytes       
[  4]   8.75-9.00   sec   629 KBytes  20.6 Mbits/sec    0    526 KBytes       
[  4]   9.00-9.25   sec   755 KBytes  24.7 Mbits/sec    0    530 KBytes       
[  4]   9.25-9.50   sec   755 KBytes  24.7 Mbits/sec    0    533 KBytes       
[  4]   9.50-9.75   sec   692 KBytes  22.7 Mbits/sec    0    536 KBytes       
[  4]   9.75-10.00  sec   755 KBytes  24.7 Mbits/sec    0    537 KBytes       
[  4]  10.00-10.25  sec   755 KBytes  24.8 Mbits/sec    0    540 KBytes       
[  4]  10.25-10.50  sec   692 KBytes  22.7 Mbits/sec    0    541 KBytes       
[  4]  10.50-10.75  sec   818 KBytes  26.8 Mbits/sec    0    543 KBytes       
[  4]  10.75-11.00  sec   755 KBytes  24.7 Mbits/sec    0    543 KBytes       
[  4]  11.00-11.25  sec   755 KBytes  24.7 Mbits/sec    0    543 KBytes       
[  4]  11.25-11.50  sec   692 KBytes  22.7 Mbits/sec    0    543 KBytes       
[  4]  11.50-11.75  sec   755 KBytes  24.7 Mbits/sec    0    543 KBytes       
[  4]  11.75-12.00  sec   692 KBytes  22.7 Mbits/sec    0    543 KBytes       
[  4]  12.00-12.25  sec   755 KBytes  24.7 Mbits/sec    0    543 KBytes       
[  4]  12.25-12.50  sec   818 KBytes  26.8 Mbits/sec    0    543 KBytes       
[  4]  12.50-12.75  sec   755 KBytes  24.7 Mbits/sec    0    543 KBytes       
[  4]  12.75-13.00  sec   629 KBytes  20.6 Mbits/sec    0    543 KBytes       
