Connecting to host speedtest.serverius.net, port 5002
[  4] local 192.168.43.162 port 49220 connected to 178.21.16.76 port 5002
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  16.75-17.00  sec  63.2 KBytes  2.07 Mbits/sec    0    943 KBytes       
[  4]  17.00-17.25  sec  0.00 Bytes  0.00 bits/sec    0    943 KBytes       
[  4]  17.25-17.50  sec  63.2 KBytes  2.07 Mbits/sec    0    945 KBytes       
[  4]  17.50-17.75  sec   126 KBytes  4.14 Mbits/sec    0    974 KBytes       
[  4]  17.75-18.00  sec   190 KBytes  6.21 Mbits/sec    0   1002 KBytes       
[  4]  18.00-18.25  sec   126 KBytes  4.15 Mbits/sec    0   1.00 MBytes       
[  4]  18.25-18.50  sec  63.2 KBytes  2.07 Mbits/sec    0   1.03 MBytes       
[  4]  18.50-18.75  sec   126 KBytes  4.14 Mbits/sec    0   1.05 MBytes       
[  4]  18.75-19.00  sec   190 KBytes  6.21 Mbits/sec    0   1.08 MBytes       
[  4]  19.00-19.25  sec   126 KBytes  4.14 Mbits/sec    0   1.11 MBytes       
[  4]  19.25-19.50  sec   126 KBytes  4.14 Mbits/sec    0   1.14 MBytes       
[  4]  19.50-19.75  sec   190 KBytes  6.21 Mbits/sec    0   1.17 MBytes       
[  4]  19.75-20.00  sec  63.2 KBytes  2.07 Mbits/sec    0   1.20 MBytes       
[  4]  20.00-20.25  sec  0.00 Bytes  0.00 bits/sec    0   1.23 MBytes       
[  4]  20.25-20.50  sec  63.2 KBytes  2.07 Mbits/sec    0   1.26 MBytes       
[  4]  20.50-20.75  sec  63.2 KBytes  2.07 Mbits/sec    0   1.29 MBytes       
[  4]  20.75-21.00  sec  63.2 KBytes  2.07 Mbits/sec    0   1.32 MBytes       
[  4]  21.00-21.25  sec  0.00 Bytes  0.00 bits/sec    0   1.34 MBytes       
[  4]  21.25-21.50  sec  63.2 KBytes  2.07 Mbits/sec    0   1.37 MBytes       
[  4]  21.50-21.75  sec  0.00 Bytes  0.00 bits/sec    0   1.38 MBytes       
[  4]  21.75-22.00  sec  63.2 KBytes  2.07 Mbits/sec    0   1.41 MBytes       
[  4]  22.00-22.25  sec  63.2 KBytes  2.07 Mbits/sec    0   1.43 MBytes       
[  4]  22.25-22.50  sec  63.2 KBytes  2.07 Mbits/sec    0   1.46 MBytes       
[  4]  22.50-22.75  sec  63.2 KBytes  2.07 Mbits/sec    0   1.49 MBytes       
[  4]  22.75-23.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  4]  23.00-23.25  sec  63.2 KBytes  2.07 Mbits/sec    0   1.56 MBytes       
[  4]  23.25-23.50  sec  63.2 KBytes  2.07 Mbits/sec    0   1.60 MBytes       
[  4]  23.50-23.75  sec  63.2 KBytes  2.07 Mbits/sec    0   1.62 MBytes       
[  4]  23.75-24.00  sec  0.00 Bytes  0.00 bits/sec    0   1.65 MBytes       
[  4]  24.00-24.25  sec  63.2 KBytes  2.07 Mbits/sec    0   1.66 MBytes       
[  4]  24.25-24.50  sec  0.00 Bytes  0.00 bits/sec    0   1.68 MBytes       
[  4]  24.50-24.75  sec  63.2 KBytes  2.07 Mbits/sec    0   1.72 MBytes       
[  4]  24.75-25.00  sec  63.2 KBytes  2.07 Mbits/sec    0   1.74 MBytes       
[  4]  25.00-25.25  sec  63.2 KBytes  2.07 Mbits/sec    0   1.77 MBytes       
[  4]  25.25-25.50  sec  0.00 Bytes  0.00 bits/sec    0   1.80 MBytes       
[  4]  25.50-25.75  sec  63.2 KBytes  2.07 Mbits/sec    0   1.83 MBytes       
[  4]  25.75-26.00  sec  63.2 KBytes  2.07 Mbits/sec    0   1.83 MBytes       
[  4]  26.00-26.25  sec  63.2 KBytes  2.07 Mbits/sec    0   1.83 MBytes       
[  4]  26.25-26.50  sec  63.2 KBytes  2.07 Mbits/sec    0   1.83 MBytes       
[  4]  26.50-26.75  sec  63.2 KBytes  2.07 Mbits/sec    0   1.83 MBytes       
[  4]  26.75-27.00  sec  63.2 KBytes  2.07 Mbits/sec    0   1.83 MBytes       
[  4]  27.00-27.25  sec  63.2 KBytes  2.07 Mbits/sec    0   1.83 MBytes       
[  4]  27.25-27.50  sec  0.00 Bytes  0.00 bits/sec   17   1.79 MBytes       
[  4]  27.50-27.75  sec  0.00 Bytes  0.00 bits/sec   18   1.76 MBytes       
[  4]  27.75-28.00  sec  0.00 Bytes  0.00 bits/sec   15   1.72 MBytes       
[  4]  28.00-28.25  sec  63.2 KBytes  2.07 Mbits/sec    4   1.70 MBytes       
[  4]  28.25-28.50  sec  0.00 Bytes  0.00 bits/sec   30   1.65 MBytes       
[  4]  28.50-28.75  sec  0.00 Bytes  0.00 bits/sec    7   1.63 MBytes       
