Connecting to host speedtest.serverius.net, port 5002
[  4] local 2806:2f0:9801:b2b6:d4e1:4ac9:15a3:233a port 43388 connected to 2a00:1ca8:33::2 port 5002
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  16.75-17.00  sec   755 KBytes  24.7 Mbits/sec    0    578 KBytes       
[  4]  17.00-17.25  sec   880 KBytes  28.9 Mbits/sec    0    578 KBytes       
[  4]  17.25-17.50  sec   818 KBytes  26.8 Mbits/sec    0    578 KBytes       
[  4]  17.50-17.75  sec   755 KBytes  24.8 Mbits/sec    0    578 KBytes       
[  4]  17.75-18.00  sec   818 KBytes  26.8 Mbits/sec    0    578 KBytes       
[  4]  18.00-18.25  sec   818 KBytes  26.8 Mbits/sec    0    578 KBytes       
[  4]  18.25-18.50  sec   818 KBytes  26.7 Mbits/sec    0    578 KBytes       
[  4]  18.50-18.75  sec   755 KBytes  24.8 Mbits/sec    0    578 KBytes       
[  4]  18.75-19.00  sec   818 KBytes  26.8 Mbits/sec    0    578 KBytes       
[  4]  19.00-19.25  sec   755 KBytes  24.8 Mbits/sec    0    578 KBytes       
[  4]  19.25-19.50  sec   818 KBytes  26.8 Mbits/sec    0    578 KBytes       
[  4]  19.50-19.75  sec   755 KBytes  24.7 Mbits/sec    0    580 KBytes       
[  4]  19.75-20.00  sec   818 KBytes  26.8 Mbits/sec    0    580 KBytes       
[  4]  20.00-20.25  sec   818 KBytes  26.8 Mbits/sec    0    581 KBytes       
[  4]  20.25-20.50  sec   755 KBytes  24.8 Mbits/sec    0    582 KBytes       
[  4]  20.50-20.75  sec   818 KBytes  26.8 Mbits/sec    0    585 KBytes       
[  4]  20.75-21.00  sec   818 KBytes  26.8 Mbits/sec    0    587 KBytes       
[  4]  21.00-21.25  sec   755 KBytes  24.7 Mbits/sec    0    589 KBytes       
[  4]  21.25-21.50  sec   880 KBytes  28.8 Mbits/sec    0    593 KBytes       
[  4]  21.50-21.75  sec   880 KBytes  28.8 Mbits/sec    0    597 KBytes       
[  4]  21.75-22.00  sec   692 KBytes  22.7 Mbits/sec    0    602 KBytes       
[  4]  22.00-22.25  sec   629 KBytes  20.6 Mbits/sec    0    606 KBytes       
[  4]  22.25-22.50  sec   880 KBytes  28.8 Mbits/sec    0    612 KBytes       
[  4]  22.50-22.75  sec   880 KBytes  28.8 Mbits/sec    0    619 KBytes       
[  4]  22.75-23.00  sec   755 KBytes  24.7 Mbits/sec    0    628 KBytes       
[  4]  23.00-23.25  sec   755 KBytes  24.7 Mbits/sec    0    634 KBytes       
[  4]  23.25-23.50  sec   943 KBytes  30.9 Mbits/sec    0    645 KBytes       
[  4]  23.50-23.75  sec   880 KBytes  28.8 Mbits/sec    0    656 KBytes       
[  4]  23.75-24.00  sec   818 KBytes  26.8 Mbits/sec    0    667 KBytes       
[  4]  24.00-24.25  sec   818 KBytes  26.8 Mbits/sec    0    679 KBytes       
[  4]  24.25-24.50  sec   818 KBytes  26.8 Mbits/sec    0    695 KBytes       
[  4]  24.50-24.75  sec   818 KBytes  26.8 Mbits/sec    0    708 KBytes       
[  4]  24.75-25.00  sec   818 KBytes  26.8 Mbits/sec    0    725 KBytes       
