Connecting to host speedtest.serverius.net, port 5002
[  4] local 192.168.43.162 port 49202 connected to 178.21.16.76 port 5002
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-0.43   sec  40.8 KBytes   779 Kbits/sec    0   13.2 KBytes       
[  4]   0.43-0.50   sec  0.00 Bytes  0.00 bits/sec    0   13.2 KBytes       
[  4]   0.50-0.75   sec  17.1 KBytes   560 Kbits/sec    1   15.8 KBytes       
[  4]   0.75-1.00   sec  0.00 Bytes  0.00 bits/sec    0   15.8 KBytes       
[  4]   1.00-1.25   sec  14.5 KBytes   474 Kbits/sec    1   10.5 KBytes       
[  4]   1.25-1.50   sec  0.00 Bytes  0.00 bits/sec    0   10.5 KBytes       
[  4]   1.50-1.75   sec  0.00 Bytes  0.00 bits/sec    3   5.27 KBytes       
[  4]   1.75-2.00   sec  13.2 KBytes   431 Kbits/sec    1   3.95 KBytes       
[  4]   2.00-2.25   sec  0.00 Bytes  0.00 bits/sec    0   3.95 KBytes       
[  4]   2.25-2.50   sec  18.4 KBytes   604 Kbits/sec    2   9.21 KBytes       
[  4]   2.50-2.75   sec  23.7 KBytes   776 Kbits/sec    0   9.21 KBytes       
[  4]   2.75-3.00   sec  0.00 Bytes  0.00 bits/sec    2   3.95 KBytes       
[  4]   3.00-3.25   sec  0.00 Bytes  0.00 bits/sec    0   3.95 KBytes       
[  4]   3.25-3.50   sec  1.32 KBytes  43.1 Kbits/sec    1   5.27 KBytes       
[  4]   3.50-3.75   sec  23.7 KBytes   776 Kbits/sec    0   6.58 KBytes       
[  4]   3.75-4.00   sec  0.00 Bytes  0.00 bits/sec    0   6.58 KBytes       
[  4]   4.00-4.25   sec  0.00 Bytes  0.00 bits/sec    0   6.58 KBytes       
[  4]   4.25-4.50   sec  0.00 Bytes  0.00 bits/sec    1   5.27 KBytes       
[  4]   4.50-4.75   sec  0.00 Bytes  0.00 bits/sec    0   3.95 KBytes       
[  4]   4.75-5.00   sec  0.00 Bytes  0.00 bits/sec    0   3.95 KBytes       
[  4]   5.00-5.25   sec  22.4 KBytes   733 Kbits/sec    0   5.27 KBytes       
[  4]   5.25-5.50   sec  0.00 Bytes  0.00 bits/sec    0   5.27 KBytes       
[  4]   5.50-5.75   sec  0.00 Bytes  0.00 bits/sec    0   6.58 KBytes       
[  4]   5.75-6.00   sec  0.00 Bytes  0.00 bits/sec    0   6.58 KBytes       
